eid,neurons,frames,R2,r
862ade13-53cd-4221-a3fa-dda8643641f2,29,432612,-0.004768074411539924,0.0031069866372321745
f9860a11-24d3-452e-ab95-39e199f20a93,59,350980,0.5009937574192556,0.7081077221064874
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,298,240258,0.4707601712833871,0.6888672499327185
6f09ba7e-e3ce-44b0-932b-c003fb44fb89,162,346349,0.45798125646434207,0.6808865601677004
6fb1e12c-883b-46d1-a745-473cde3232c8,158,257551,0.5030776969791049,0.7602608420136039
88d24c31-52e4-49cc-9f32-6adbeb9eba87,165,260616,0.24828426556973915,0.6954852276136652
c6db3304-c906-400c-aa0f-45dd3945b2ea,102,311652,0.2911842789031911,0.596948336647282
f3ce3197-d534-4618-bf81-b687555d1883,93,381428,0.1651070277858584,0.4997185024259455
875c1e5c-f7ec-45ac-ab82-ecfe7276a707,47,327143,-0.17855185967312415,0.0749315212315362
dac3a4c1-b666-4de0-87e8-8c514483cacf,62,264704,0.08550681793915382,0.37902793632773046
